ID	Name	GPR	LB	UB	Equation	Subsystem
R_BIOMASSRXN	Biomass equation		0.0	1000.0	5.0E-4 M_r257 + 5.0E-4 M_r379 + 0.203 M_r1070 + 0.001 M_r773 + 5.0E-4 M_r212 + M_r850 + 5.0E-4 M_r35 + 0.003 M_r415 + 0.0247 M_r979 + 5.0E-4 M_r2 + 1.3E-4 M_r1301 + M_r1300 + 0.0254 M_r890 + 4.0E-4 M_r1303 + 5.0E-4 M_r268 + 0.582 M_r1060 + 5.0E-4 M_r224 + 0.25 M_r1181 + 0.171 M_r787 + 0.028 M_r348 + 0.09 M_r1184 + 0.126 M_r860 + 5.0E-4 M_r24 + 0.402 M_r1219 + 0.131 M_r1218 + 0.00215 M_r1299 + 0.21 M_r1211 + 0.176 M_r1210 + 0.18759 M_r1213 + 0.054 M_r1217 + M_r1459 + 0.241 M_r1216 + 5.0E-4 M_r279 + 5.0E-4 M_r235 + 0.087 M_r1174 + 0.05 M_r672 + 0.25 M_r1176 + 5.0E-4 M_r13 + 5.0E-4 M_r57 + 0.032027 M_r1405 + 0.428 M_r1204 + 5.0E-4 M_r190 + 0.146 M_r1206 + 5.0E-4 M_r390 + 0.326 M_r1205 + 5.0E-4 M_r1447 + 5.0E-4 M_r246 + 5.0E-4 M_r401 + 0.0247 M_r886 + 0.136 M_r446 + 0.281 M_r1160 + 0.0254 M_r920 + 5.0E-4 M_r1086 + M_r1000 + 0.229 M_r1165 + 0.229 M_r1164 + 5.0E-4 M_r201 + M_r726 + 0.488 M_r1156 + 0.276 M_r1199 <=> 0.7302 M_r942 + 45.5604 M_r1077 + M_r350	
R_ENZRXN3EM_53	aminotransferase	( PFLU4460 )	-1000.0	1000.0	M_r1218 + M_r1313 <=> M_r1381 + M_r1176	
R_ENZRXN3EM_471	aromatic-amino-acid aminotransferase	( PFLU4209 )	-1000.0	1000.0	M_r1381 + M_r1176 <=> M_r1218 + M_r1313	
R_ENZRXN3EM_490	putative alcohol dehydrogenase	( PFLU4115 )	0.0	1000.0	M_r1077 + M_r716 + M_r1300 <=> M_r994 + M_r1299	
R_ENZRXN3EM_792	probable alcohol dehydrogenase	( PFLU1412 )	0.0	1000.0	M_r994 + M_r1299 <=> M_r1077 + M_r716 + M_r1300	
R_MIRXN_39	H+ uptake		0.0	1000.0	M_r131 <=> M_r1078	
R_MIRXN_41	H2O uptake		0.0	1000.0	M_r133 <=> M_r298	
R_MIRXN_45	K+ uptake		0.0	1000.0	M_r138 <=> M_r1139	
R_MIRXN_73	Na+ uptake		0.0	1000.0	M_r169 <=> M_r1285	
R_MERXN_32	H+ excretion		0.0	1000.0	M_r1077 <=> M_r232	
R_MERXN_34	H2O excretion		0.0	1000.0	M_r1082 <=> M_r234	
R_MERXN_38	K+ excretion		0.0	1000.0	M_r1138 <=> M_r239	
R_MERXN_61	Na+ excretion		0.0	1000.0	M_r1284 <=> M_r264	
R_MTRXN_71	NhaA; sodium / proton antiporter	( PFLU1332 )	-1000.0	1000.0	M_r1284 + M_r1078 <=> M_r1077 + M_r1285	
R_MTRXN_59	H2O transport via diffusion (periplasm)		0.0	1000.0	M_r298 <=> M_r1082	
R_ENZRXN3EM_1520__ENZRXN3EM_1655__ENZRXN3EM_170__ENZRXN3EM_4687__ENZRXN3EM_741	low affinity potassium transport system protein__putative potassium efflux system protein__putative potassium-efflux system, membrane protein__trk system potassium uptake protein trkA__putative pH adaptation potassium efflux protein	( PFLU1204 ) or ( PFLU0445 ) or ( PFLU2448 ) or ( PFLU0015 ) or ( PFLU3865 and PFLU3866 and PFLU3867 and PFLU3868 )	0.0	1000.0	M_r1078 + M_r1139 <=> M_r1077 + M_r1138	
R_MVRXN_289	ATP non-growth-associated maintenance		0.0	1000.0	M_r1082 + M_r787 <=> M_r1364 + M_r745	
R_ENZRXN3EM_754	potassium-transporting ATPase	( PFLU1678 and PFLU1677 and PFLU1676 )	0.0	1000.0	M_r1082 + M_r787 + M_r1139 <=> M_r1364 + M_r1138 + M_r745	
R_MIRXN_1	2-Dehydro-D-gluconate uptake		0.0	1000.0	M_r88 <=> M_r277	
R_MIRXN_98	2-hydroxyethanesulfonate uptake		0.0	1000.0	M_r321 <=> M_r320	
R_MIRXN_90	3-phenylpropionate uptake		0.0	1000.0	M_r187 <=> M_r611	
R_MIRXN_3	GABA uptake		0.0	1000.0	M_r91 <=> M_r627	
R_MIRXN_5	Acetate uptake		0.0	1000.0	M_r93 <=> M_r718	
R_MIRXN_6	Allantoin uptake		0.0	1000.0	M_r94 <=> M_r761	
R_MIRXN_2	alpha-ketoglutarate uptake		0.0	1000.0	M_r89 <=> M_r1423	
R_MIRXN_7	Ammonia uptake		0.0	1000.0	M_r95 <=> M_r772	
R_MIRXN_22	Glucose uptake		0.0	1000.0	M_r111 <=> M_r284	
R_MIRXN_93	Ca2+ uptake		0.0	1000.0	M_r191 <=> M_r810	
R_MIRXN_68	Chloride uptake		0.0	1000.0	M_r163 <=> M_r821	
R_MIRXN_104	Choline sulfate uptake		0.0	1000.0	M_r1537 <=> M_r1536	
R_MIRXN_9	Choline uptake		0.0	1000.0	M_r97 <=> M_r826	
R_MIRXN_10	Citrate uptake		0.0	1000.0	M_r98 <=> M_r835	
R_MIRXN_12	CO2 uptake		0.0	1000.0	M_r100 <=> M_r281	
R_MIRXN_13	Cobalt uptake		0.0	1000.0	M_r102 <=> M_r282	
R_MIRXN_11	Cobalamin uptake		0.0	1000.0	M_r99 <=> M_r280	
R_MIRXN_14	Cytosine uptake		0.0	1000.0	M_r103 <=> M_r871	
R_MIRXN_15	D-alanine uptake		0.0	1000.0	M_r104 <=> M_r880	
R_MIRXN_18	Decanoate uptake		0.0	1000.0	M_r107 <=> M_r86	
R_MIRXN_16	D-cysteine uptake		0.0	1000.0	M_r105 <=> M_r283	
R_MIRXN_29	Dodecanoate uptake		0.0	1000.0	M_r120 <=> M_r87	
R_MIRXN_19	Fructose uptake		0.0	1000.0	M_r108 <=> M_r904	
R_MIRXN_20	Galactonate uptake		0.0	1000.0	M_r109 <=> M_r907	
R_MIRXN_91	D-glucarate uptake		0.0	1000.0	M_r188 <=> M_r911	
R_MIRXN_24	D-lactate uptake		0.0	1000.0	M_r115 <=> M_r286	
R_MIRXN_25	D-malate uptake		0.0	1000.0	M_r116 <=> M_r288	
R_MIRXN_28	D-methionine uptake		0.0	1000.0	M_r119 <=> M_r957	
R_MIRXN_30	D-ribose uptake		0.0	1000.0	M_r121 <=> M_r962	
R_MIRXN_17	D-serine uptake		0.0	1000.0	M_r106 <=> M_r967	
R_MIRXN_31	D-xylose uptake		0.0	1000.0	M_r122 <=> M_r292	
R_MIRXN_97	ethanesulfonate uptake		0.0	1000.0	M_r318 <=> M_r317	
R_MIRXN_32	Fe2+ uptake		0.0	1000.0	M_r123 <=> M_r293	
R_MIRXN_33	Fumarate uptake		0.0	1000.0	M_r125 <=> M_r296	
R_MIRXN_21	Gluconate uptake		0.0	1000.0	M_r110 <=> M_r1039	
R_MIRXN_23	D-glyceraldehyde uptake		0.0	1000.0	M_r114 <=> M_r285	
R_MIRXN_34	Glycerol uptake		0.0	1000.0	M_r126 <=> M_r1059	
R_MIRXN_37	Uptake of glycine betaine		0.0	1000.0	M_r129 <=> M_r1062	
R_MIRXN_36	Glycine uptake		0.0	1000.0	M_r128 <=> M_r1063	
R_MIRXN_38	Glycolate uptake		0.0	1000.0	M_r130 <=> M_r1066	
R_MIRXN_40	H2 uptake		0.0	1000.0	M_r132 <=> M_r297	
R_MIRXN_8	Bicarbonate uptake		0.0	1000.0	M_r96 <=> M_r278	
R_MIRXN_42	Hexadecanoate uptake		0.0	1000.0	M_r134 <=> M_r28	
R_MIRXN_92	Hg uptake		0.0	1000.0	M_r189 <=> M_r1095	
R_MIRXN_69	Homoserine uptake		0.0	1000.0	M_r164 <=> M_r304	
R_MIRXN_43	Hexanoate uptake		0.0	1000.0	M_r136 <=> M_r29	
R_ENZRXN3EM_1069	putative hypoxanthine-guanine phosphoribosyltransferase	( PFLU0900 )	0.0	1000.0	M_r676 + M_r1110 <=> M_r942 + M_r1121	
