ID	Name	Formula	Compartment	CompartmentName	Boundary	LigandCompound	MetaCyc	ModelSeed	ChEBI
M_r736	(2S)-2-amino-3-oxo-4-phosphonooxybutanoate		C_1	Cytoplasm	false				
M_r803	(E)-3-(methoxycarbonyl)pent-2-enedioate		C_1	Cytoplasm	false				
M_r814	(E)-4-hydroxy-3-methylbut 2-en-1-yl diphosphate		C_1	Cytoplasm	false				
M_r825	(KDO)-lipid IVA		C_1	Cytoplasm	false				
M_r836	(R)-1-amino-2-propanol O-2-phosphate		C_1	Cytoplasm	false				
M_r858	(R)-2-hydroxyglutarate		C_1	Cytoplasm	false				
M_r870	(R)-2-hydroxyglutaryl-CoA		C_1	Cytoplasm	false				
M_r892	(R)-4-Hydroxymandelate		C_1	Cytoplasm	false				
M_r914	(R)-mandelate		C_1	Cytoplasm	false				
M_r925	(S)-3-Amino-2-methylpropanoate		C_1	Cytoplasm	false				
M_r936	(S)-3-hydroxybutanoyl-CoA		C_1	Cytoplasm	false				
M_r947	(S)-4-Hydroxymandelate		C_1	Cytoplasm	false				
M_r969	(S)-mandelate		C_1	Cytoplasm	false				
M_r981	(S)-ureidoglycolate		C_1	Cytoplasm	false				
M_r1003	1-(o-carboxyphenylamino)-1'-deoxyribulose-5'-phosphate		C_1	Cytoplasm	false				
M_r1025	1,2-dihydroxycyclohexa-3,5-diene-1-carboxylate		C_1	Cytoplasm	false				
M_r1036	1,3-diphosphateglycerate		C_1	Cytoplasm	false				
M_r1047	1,6-kestotetraose		C_1	Cytoplasm	false				
M_r1080	1-amino-propan-2-one-3-phosphate		C_1	Cytoplasm	false				
M_r1092	1-carboxyvinyl carboxyphosphonate		C_1	Cytoplasm	false				
M_r290	1-dodecanoyl-sn-glycerol 3-phosphate		C_1	Cytoplasm	false				
M_r1114	1-deoxy-D-xylulose 5-phosphate		C_1	Cytoplasm	false				
M_r335	1-hexadec-9-enoyl-sn-glycerol 3-phosphate		C_1	Cytoplasm	false				
M_r312	1-hexadecanoyl-sn-glycerol 3-phosphate		C_1	Cytoplasm	false				
M_r1125	1-hydroxy-2-methyl-2-(E)-butenyl 4-diphosphate		C_1	Cytoplasm	false				
M_r1136	1-kestotriose		C_1	Cytoplasm	false				
M_r1158	1-octanal		C_1	Cytoplasm	false				
M_r353	1-octadec-11-enoyl-sn-glycerol 3-phosphate		C_1	Cytoplasm	false				
M_r351	1-octadecanoyl-sn-glycerol 3-phosphate		C_1	Cytoplasm	false				
M_r1180	2'-(5''-triphosphoribosyl)-3'-dephospho-CoA		C_1	Cytoplasm	false				
M_r1191	2,3-bis(3-hydroxymyristoyl)-beta-D-glucosaminyl 1-phosphate		C_1	Cytoplasm	false				
M_r1203	2,3-dihydro-2,3-dihydroxybenzoate		C_1	Cytoplasm	false				
M_r1214	2,3-dihydroxy-3-methylvalerate		C_1	Cytoplasm	false				
M_r1236	2,3-dihydroxy-isovalerate		C_1	Cytoplasm	false				
M_r1258	2,5-diamino-6-(ribosylamino)-4-(3H)-pyrimidinone 5'-phosphate		C_1	Cytoplasm	false				
M_r1269	2,5-didehydro-D-gluconate		C_1	Cytoplasm	false				
M_r1280	2,5-dihydro-5-oxofuran-2-acetate		C_1	Cytoplasm	false				
M_r1314	2,5-dioxopentanoate		C_1	Cytoplasm	false				
M_r1325	2-aceto-2-hydroxy-butyrate		C_1	Cytoplasm	false				
M_r1336	2-acetolactate		C_1	Cytoplasm	false				
M_r1347	2-amino-4-hydroxy-6-hydroxymethyl-7,8-dihydropteridine diphosphate		C_1	Cytoplasm	false				
M_r1357	2-carboxy-5-oxo-2,5-dihydrofuran-2-acetate		C_1	Cytoplasm	false				
M_r1379	2-cis,6-trans,10-trans-geranylgeranyl diphosphate		C_1	Cytoplasm	false				
M_r1390	2-C-methyl-D-erythritol-2,4-cyclodiphosphate		C_1	Cytoplasm	false				
M_r1401	2-C-methyl-D-erythritol-4-phosphate		C_1	Cytoplasm	false				
M_r1412	2-dehydro-3-deoxy-D-galactonate		C_1	Cytoplasm	false				
M_r1424	2-dehydro-3-deoxy-D-galactonate-6-phosphate		C_1	Cytoplasm	false				
M_r1435	2-dehydro-3-deoxy-D-gluconate		C_1	Cytoplasm	false				
M_r88	2-dehydro-D-gluconate		C_3	External	true				
M_r195	2-dehydro-D-gluconate		C_3	External	true				
M_r277	2-dehydro-D-gluconate		C_2	Extracellular	false				
M_r1446	2-dehydro-D-gluconate		C_1	Cytoplasm	false				
M_r1457	2-dehydropantoate		C_1	Cytoplasm	false				
M_r1468	2-hydroxy-3-oxosuccinate		C_1	Cytoplasm	false				
M_r1479	2-hydroxy-5-carboxymethylmuconate semialdehyde		C_1	Cytoplasm	false				
M_r319	2-hydroxyethanesulfonate		C_1	Cytoplasm	false				
M_r320	2-hydroxyethanesulfonate		C_2	Extracellular	false				
M_r321	2-hydroxyethanesulfonate		C_3	External	true				
M_r1490	2-hydroxyhepta-2,4-dienedioate		C_1	Cytoplasm	false				
M_r1501	2-isopropyl-3-oxosuccinate		C_1	Cytoplasm	false				
M_r1512	2-isopropylmalate		C_1	Cytoplasm	false				
M_r1523	2-keto-3-deoxy-6-phospho-gluconate		C_1	Cytoplasm	false				
M_r414	2-keto-3-methyl-valerate		C_1	Cytoplasm	false				
M_r425	2-ketoisocaproate		C_1	Cytoplasm	false				
M_r436	2-keto-isovalerate		C_1	Cytoplasm	false				
M_r447	2-keto-myo-inositol		C_1	Cytoplasm	false				
M_r458	2-maleylacetate		C_1	Cytoplasm	false				
M_r469	2-methyl-3-hydroxybutyryl-CoA		C_1	Cytoplasm	false				
M_r480	2-methylacetoacetyl-CoA		C_1	Cytoplasm	false				
M_r490	2-methylbutanal		C_1	Cytoplasm	false				
M_r501	2-methylbutanol		C_1	Cytoplasm	false				
M_r522	2-methyl-cis-aconitate		C_1	Cytoplasm	false				
M_r532	2-methylcitrate		C_1	Cytoplasm	false				
M_r552	2-nitropropane		C_1	Cytoplasm	false				
M_r553	2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol		C_1	Cytoplasm	false				
M_r558	2-octaprenyl-3-methyl-6-methoxy-1,4-benzoquinone		C_1	Cytoplasm	false				
M_r560	2-octaprenyl-6-hydroxyphenol		C_1	Cytoplasm	false				
M_r561	2-octaprenyl-6-methoxy-1,4-benzoquinone		C_1	Cytoplasm	false				
M_r562	2-octaprenyl-6-methoxyphenol		C_1	Cytoplasm	false				
M_r563	2-octaprenylphenol		C_1	Cytoplasm	false				
M_r567	2-oxo-3-hydroxy-4-phosphobutanoate		C_1	Cytoplasm	false				
M_r54	2-oxoarginine		C_1	Cytoplasm	false				
M_r568	2-oxobutanoate		C_1	Cytoplasm	false				
M_r569	2-oxo-hept-3-ene-1,7-dioate		C_1	Cytoplasm	false				
M_r571	2-oxohept-3-enedioate		C_1	Cytoplasm	false				
M_r572	2-oxopent-4-enoate		C_1	Cytoplasm	false				
M_r573	2-phenylethanol		C_1	Cytoplasm	false				
M_r574	2-phospho-4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol		C_1	Cytoplasm	false				
M_r575	2-phosphoglycerate		C_1	Cytoplasm	false				
M_r576	2-phosphoglycolate		C_1	Cytoplasm	false				
M_r577	2-pyrone-4,6-dicarboxylate		C_1	Cytoplasm	false				
