63	77
	R_EX_pi_e_	R_EX_h2o_e_	R_EX_glc_e_	R_EX_co2_e_	R_EX_for_e_	R_EX_succ_e_	R_EX_ac_e_	R_EX_fum_e_	R_EX_lac_D_e_	R_EX_akg_e_	R_EX_pyr_e_	R_EX_h_e_	R_EX_etoh_e_	R_EX_o2_e_	R_FUM	R_PDH	R_ICDHyr	R_PYRt2r	R_FORt	R_ACONT	R_TPI	R_PTAr	R_PPCK	R_ATPM	R_PGI	R_PGK	R_ADK1	R_PGM	R_PGL	R_H2Ot	R_NADH11	R_ATPS4r	R_ETOHt2r	R_SUCOAS	R_FUMt2_2	R_GAPD	R_CO2t	R_G6PDH2r	R_PIt	R_ICL	R_O2t	R_FBA	R_AKGDH	R_PPC	R_NADTRHD	R_PFL	R_PFK	R_ACt2r	R_TKT1	R_TKT2	R_SUCCt2_2	R_GLCpts	R_D_LACt2	R_SUCD4	R_GND	R_ENO	R_ME1	R_ME2	R_ADHEr	R_CS	R_Biomass_Ecoli_core_N__w_GAM_	R_LDH_D	R_MDH	R_THD2	R_SUCCt2b	R_ACKr	R_AKGt2r	R_CYTBD	R_FRD	R_MALS	R_RPI	R_SUCD1i	R_PYK	R_PPS	R_TALA	R_RPE	R_FBP
M_nadp_c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	-1	0	0	-1	0	0	18.225	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0
M_fdp_c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1
M_actp_c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
M_e4p_c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	-0.361	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
M_pi_e	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_succoa_c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M_nadph_c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	-18.225	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
M_r5p_c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	-0.8977	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0
M_fadh2_c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	0	1	0	0	0	0	0
M_pi_c	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	-1	0	1	0	0	0	0	0	0	0	-1	0	1	0	-1	0	0	-1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	55.703	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
