ReactionID,Desctiption,Reversible,Virtual,Origin,Destination,Location (interface),SBO_key
R0_gl,Vesicular transport of Lactose,NO,YES,Golgi,lysosome,vesicule,SBO:0000185
R1_pr,Vesicular transport of (S)(+)-Allantoin,NO,YES,peroxisome,endoplasmic reticulum,vesicule,SBO:0000185
R2_lg,Vesicular transport of GM3,NO,YES,lysosome,Golgi,vesicule,SBO:0000185
R3_gl,Vesicular transport of Digalactosylceramide,NO,YES,Golgi,lysosome,vesicule,SBO:0000185
R4_ec,"Transport of Adenosine 3',5'-bisphosphate",NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R5_ec,Transport of Formate,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R6_gc,Transport of Copper,NO,NO,Golgi,cytosol,Golgi membrane,SBO:0000185
R7_rc,Transport of Aldehyde,NO,NO,endoplasmic reticulum,cytosol,endoplasmic reticulum membrane,SBO:0000185
R8_mc,Transport of Aldehyde,NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R9_pc,Transport of Aldehyde,NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R10_rc,Transport of Calcium cation,NO,NO,endoplasmic reticulum,cytosol,endoplasmic reticulum membrane,SBO:0000185
R11_ec,Transport of Calcium cation,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R12_rc,Transport of Urea,NO,NO,endoplasmic reticulum,cytosol,endoplasmic reticulum membrane,SBO:0000185
R13_rc,Transport of beta-Alanine,NO,NO,endoplasmic reticulum,cytosol,endoplasmic reticulum membrane,SBO:0000185
R14_ec,Transport of beta-Alanine,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R15_pc,Transport of beta-Alanine,NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R16_pc,Transport of Propanoyl-CoA,NO,NO,peroxisome,cytosol,peroxisomal membrane,SBO:0000185
R17_ec,Transport of Tetrahydrofolate,NO,NO,extracellular,cytosol,plasma membrane,SBO:0000185
R18_lc,Transport of UMP,NO,NO,lysosome,cytosol,lysosomal membrane,SBO:0000185
R19_mc,Transport of Glycerone phosphate,NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R20_mc,Transport of D-Ribose 5-phosphate,NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R21_mc,Transport of Glutathione disulfide,NO,NO,mitochondria,cytosol,mitochondrial membrane,SBO:0000185
R22_rc,Transport of IMP,NO,NO,endoplasmic reticulum,cytosol,endoplasmic reticulum membrane,SBO:0000185
R23_lc,Transport of IMP,NO,NO,lysosome,cytosol,lysosomal membrane,SBO:0000185
