Simulation number,Simulation (input --> objective metabolite)
1,L-Histidine(c) --> L-Glutamate(c)
2,1H-Imidazole-4-ethanamine(c) --> Imidazole-4-acetate(c)
3,L-Histidine(c) --> 1H-Imidazole-4-ethanamine(c)
4,1H-Imidazole-4-ethanamine(c) --> Methylimidazoleacetic acid(c)
5,L-Proline(m) --> L-Glutamate(m)
6,L-Glutamate(m) --> L-Proline(m)
7,L-Arginine(m) --> L-Glutamate(m)
8,L-Arginine(c) --> Nitric oxide(c)
9,L-Aspartate(c) + HCO3-(c) --> L-Arginine(c)
10,Putrescine(c) --> beta-Alanine(c)
11,Uracil(c) --> beta-Alanine(c)
12,3-Oxopropanoate(c) --> beta-Alanine(c)
13,beta-Alanine(m) --> 3-Oxopropanoate(m)
14,Putrescine(c) --> Spermidine(c)
15,Spermidine(c) --> Spermine(c)
16,L-Alanine(c) --> D-Alanine(c)
17,D-Alanine(c) --> Pyruvate(c)
18,L-Glutamine(m) --> L-Glutamate(m)
19,L-Glutamate(m) --> 2-Oxoglutarate(m)
20,L-Cysteine(c) + L-Glutamate(c) + Glycine(c) --> Glutathione(c)
21,L-Phenylalanine(c) --> L-Tyrosine(c)
22,L-Phenylalanine(c) --> Phenylpyruvate(c)
23,L-Phenylalanine(c) --> Phenethylamine(c)
24,L-Phenylalanine(c) --> Phenylacetaldehyde(c)
25,L-Phenylalanine(c) --> Phenylacetic acid(c)
26,L-Selenomethionine(c) --> Selenophosphoric acid(c)
27,DNA(n) --> DNA 5-methylcytosine(n)
28,L-Cysteine(c) --> Hypotaurine(c)
29,Hypotaurine(c) --> Taurine(x)
30,L-Cysteate(c) --> Taurine(x)
31,L-Tryptophan(c) --> Acetyl-CoA(c)
32,L-Tryptophan(c) --> Serotonin(c)
33,L-Tryptophan(c) --> Melatonin(c)
34,L-Tryptophan(c) --> L-Formylkynurenine(c)
35,L-Tryptophan(c) --> L-Kynurenine(c)
36,L-Tryptophan(c) --> Formylanthranilate(c)
37,Serotonin(c) --> 5-Methoxyindoleacetate(c)
38,Serotonin(c) --> 6-Hydroxymelatonin(c)
39,Serotonin(c) --> Formyl-N-acetyl-5-methoxykynurenamine(c)
40,Serotonin(c) --> Formyl-5-hydroxykynurenamine(c)
41,L-Tryptophan(c) --> Indole-3-acetaldehyde(c)
42,L-Tryptophan(c) --> Anthranilate(c)
43,L-Tyrosine(c) --> Fumarate(c) + Acetoacetate(c)
44,L-Tyrosine(c) --> 3-(4-Hydroxyphenyl)pyruvate(c)
45,L-Tyrosine(c) --> L-Noradrenaline(c)
46,L-Tyrosine(c) --> L-Adrenaline(c)
47,L-Tyrosine(c) --> 4-Hydroxyphenylacetate(c)
48,L-Tyrosine(c) --> Dopamine(c)
49,Dopamine(c) --> Homovanillate(c)
50,"L-Adrenaline(c) --> 3,4-Dihydroxyphenylethyleneglycol(c)"
51,L-Arginine(c) --> Phosphocreatine(c)
52,L-Arginine(c) --> Creatine(c)
53,L-Glutamate 5-semialdehyde(c) --> L-Proline(c)
54,"L-Adrenaline(c) --> 3,4-Dihydroxyphenylethyleneglycol(c)"
55,Dimethylallyl diphosphate(c) --> Geranylgeranyl diphosphate(c)
56,Isopentenyl diphosphate(x) --> Squalene(r)
57,Hydroxyproline(m) --> Glyoxylate(m)
58,L-Lysine(c) --> Acetyl-CoA(m)
59,2-Oxoglutarate(c) --> L-Glutamate(c)
60,2-Oxoglutarate(c) --> L-Glutamate(c)
61,2-Oxoglutarate(m) --> L-Glutamate(m)
62,L-Glutamate(c) --> L-Glutamine(c)
63,L-Glutamine(m) --> L-Glutamate(m)
64,4-Aminobutanoate(m) --> Succinate(m)
65,L-Glutamate(c) --> 4-Aminobutanoate(c)
66,L-Lysine(x) --> Acetoacetyl-CoA(m)
67,3-Phospho-D-glycerate(c) --> L-Serine(c)
68,3-Phospho-D-glycerate(c) --> Glycine(c)
69,L-Threonine(c) --> Propanoyl-CoA(c)
70,L-Serine(c) --> L-Cysteine(c)
71,L-Methionine(c) --> L-Cysteine(c)
72,L-Cysteine(c) --> 3-Sulfino-L-alanine(c)
73,3-Sulfino-L-alanine(c) --> Sulfate(c)
74,L-Leucine(m) --> Acetyl-CoA(m)
75,L-Isoleucine(m) --> Acetyl-CoA(m)
76,L-Valine(m) --> Succinyl-CoA(m)
77,Glycine(c) --> L-Serine(c)
78,L-Serine(c) --> Pyruvate(c)
79,Sulfate(c) --> 3'-Phosphoadenylyl sulfate(c)
80,Oxygen(c) --> Hydrogen peroxide(c)
81,Hydrogen peroxide(m) --> Oxygen(m) + H2O(m)
82,5-Aminolevulinate(m) --> Heme(m)
83,L-Aspartate(c) --> L-Asparagine(c)
84,L-Aspartate(c) --> Oxaloacetate(c)
85,L-Asparagine(c) --> Oxaloacetate(c)
86,L-Aspartate(c) --> beta-Alanine(c)
87,Pyruvate(c) --> L-Alanine(c)
88,L-Alanine(c) --> Pyruvate(c)
89,L-Aspartate(c) --> Fumarate(c)
90,L-Aspartate(c) --> Fumarate(c)
91,Heme(c) --> Bilirubin(c)
92,Pyruvate(c) --> (R)-Lactate(c)
93,Pyruvate(c) --> Acetyl-CoA(m) + CO2(c) + NADH(m)
94,Ethanol(c) --> Acetaldehyde(c)
95,Acetaldehyde(c) --> Acetate(c)
96,D-Glucose 6-phosphate(c) --> D-Ribulose 5-phosphate(c)
97,D-Glucose 6-phosphate(c) --> D-Ribose 5-phosphate(c)
98,D-Fructose 6-phosphate(c) + D-Glyceraldehyde 3-phosphate(c) --> D-Ribose 5-phosphate(c)
99,UDP-glucuronate(c) --> D-Xylulose 5-phosphate(c)
100,D-Fructose(c) --> Glycerone phosphate(c)
101,D-Fructose(c) --> D-Glyceraldehyde 3-phosphate(c)
102,D-Galactose(c) --> UDP-D-galactose(c)
103,Pyruvate(m) --> NAD+(m) + H+(m)
104,Pyruvate(m) --> FAD(m) + H+(m)
105,Succinyl-CoA(m) --> Oxaloacetate(m)
106,Fumarate(m) --> Oxaloacetate(m)
107,D-Mannose(c) --> GDP-mannose(c)
108,GDP-mannose(c) --> GDP-L-fucose(c)
109,D-Glucosamine 6-phosphate(c) --> UDP-N-acetyl-D-glucosamine(c)
110,N-Acetyl-D-galactosamine(c) --> UDP-N-acetyl-D-galactosamine(c)
111,N-Acetyl-D-glucosamine(c) --> CMP-N-acetylneuraminate(c)
112,myo-Inositol(c) --> D-Xylulose 5-phosphate(c)
113,"D-myo-Inositol 1,4,5-trisphosphate(c) --> myo-Inositol(c)"
114,Hydroxypyruvate(c) --> 2-Phospho-D-glycerate(c)
115,Hydroxypyruvate(c) --> Glycolate(c)
116,D-Xylulose(c) --> Glycolate(c)
117,Glycolate(c) --> Glycine(c)
118,Glyoxylate(m) --> Glycolate(m)
119,Glycerone phosphate(c) --> Methylglyoxal(c)
120,D-Glyceraldehyde 3-phosphate(c) --> Methylglyoxal(c)
121,Aminoacetone(c) --> Methylglyoxal(c)
122,Methylglyoxal(c) --> (R)-Lactate(c)
123,Propanoyl-CoA(m) --> Succinyl-CoA(m)
124,Acetoacetate(m) --> (R)-3-Hydroxybutanoate(m)
125,"(S)-3-Hydroxy-3-methylglutaryl-CoA(x) --> trans,trans-Farnesyl diphosphate(x)"
126,(S)-3-Hydroxy-3-methylglutaryl-CoA(x) --> Cholesterol(r)
127,(S)-3-Hydroxy-3-methylglutaryl-CoA(x) --> Cholesterol(r)
128,"(S)-3-Hydroxy-3-methylglutaryl-CoA(x) --> 3alpha,7alpha,12alpha-Trihydroxy-5beta-cholestane(c)"
129,Palmitoyl-CoA(c) --> Ceramide 1-phosphate(c)
130,"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid(r) --> Thromboxane A2(r)"
131,Thiamine(e) --> Thiamin diphosphate(m)
132,Thiamin monophosphate(e) --> Thiamin diphosphate(m)
133,Thiamin monophosphate(e) --> Thiamin diphosphate(c)
134,Thiamine(c) --> Thiamin diphosphate(c)
135,5-Phospho-alpha-D-ribose 1-diphosphate(c) --> IMP(c)
136,Adenosine(c) --> Urate(x)
137,IMP(c) --> Urate(x)
138,Guanosine(c) --> Urate(x)
139,IMP(c) --> ATP(c)
140,IMP(c) --> GTP(c)
141,Cytidine(c) --> beta-Alanine(c)
142,CMP(c) --> Cytidine(c)
143,UMP(c) --> beta-Alanine(c)
144,dCMP(c) --> beta-Alanine(c)
145,L-Glutamine(c) + HCO3-(c) --> UMP(c)
146,ADP(c) --> dATP(n)
147,GDP(c) --> dGTP(n)
148,CDP(c) --> dCTP(n)
149,UDP(c) --> dTTP(n)
150,L-Tyrosine(m) --> Ubiquinone(m)
151,L-Valine(m) --> L-3-Amino-isobutanoate(m)
152,L-Valine(m) --> Succinyl-CoA(m)
153,Pyridoxal(c) --> Pyridoxal phosphate(c)
154,Hypoxanthine(c) --> IMP(c)
155,Guanine(c) --> GMP(c)
156,Adenine(c) --> AMP(c)
157,"(5Z,8Z,11Z,14Z)-Icosatetraenoic acid(c) --> Malonyl-CoA(m)"
158,Acetyl-CoA(c) --> Palmitoyl-CoA(c)
159,Palmitoyl-CoA(c) --> Malonyl-CoA(m)
160,ZebraGEM Biomass
