Type,Compartment,Metabolite,KeggID
Sink,cytosol,Nucleoside triphosphate,C00201
Sink,cytosol,Geranylgeranyl diphosphate,C00353
Sink,cytosol,"Sedoheptulose 1,7-bisphosphate",C00447
Sink,extracellular,"Sedoheptulose 1,7-bisphosphate",C00447
Sink,cytosol,Halide,C00462
Sink,endoplasmic reticulum,Halide,C00462
Sink,peroxisome,Halide,C00462
Sink,cytosol,Hypotaurine,C00519
Sink,mitochondria,Hypotaurine,C00519
Sink,endoplasmic reticulum,(-)-Ureidoglycolate,C00603
Sink,peroxisome,O2.-,C00704
Sink,cytosol,Propynoate,C00804
Sink,mitochondria,Propynoate,C00804
Sink,endoplasmic reticulum,Propynoate,C00804
Sink,peroxisome,Propynoate,C00804
Sink,cytosol,4-Pyridoxate,C00847
Sink,cytosol,3-Dehydroquinate,C00944
Sink,cytosol,Indole-3-acetate,C00954
Sink,mitochondria,Indole-3-acetate,C00954
Sink,endoplasmic reticulum,Indole-3-acetate,C00954
Sink,peroxisome,Indole-3-acetate,C00954
Sink,cytosol,N(pi)-Methyl-L-histidine,C01152
Sink,mitochondria,N(pi)-Methyl-L-histidine,C01152
Sink,cytosol,myo-Inositol hexakisphosphate,C01204
Sink,mitochondria,"3-Hydroxy-N6,N6,N6-trimethyl-L-lysine",C01259
Sink,cytosol,Hydrochloric acid,C01327
Sink,endoplasmic reticulum,Hydrochloric acid,C01327
Sink,peroxisome,Hydrochloric acid,C01327
Sink,cytosol,Deoxyribose,C01801
Sink,cytosol,L-Lysyl-tRNA,C01931
Sink,mitochondria,L-Lysyl-tRNA,C01931
Sink,cytosol,Thiocysteine,C01962
Sink,cytosol,L-Leucyl-tRNA,C02047
Sink,mitochondria,L-Leucyl-tRNA,C02047
Sink,membrane,Leukotriene C4,C02166
Sink,endoplasmic reticulum,Thromboxane A2,C02198
Sink,cytosol,Glutaminyl-tRNA,C02282
Sink,cytosol,Glycyl-tRNA(Gly),C02412
Sink,cytosol,2-Phenylacetamide,C02505
Sink,cytosol,L-Seryl-tRNA(Ser),C02553
Sink,mitochondria,L-Seryl-tRNA(Ser),C02553
Sink,cytosol,L-Valyl-tRNA(Val),C02554
Sink,mitochondria,L-Valyl-tRNA(Val),C02554
Sink,cytosol,L-Prolyl-tRNA(Pro),C02702
Sink,mitochondria,L-Prolyl-tRNA(Pro),C02702
Sink,cytosol,Imidazole-4-acetate,C02835
Sink,mitochondria,Imidazole-4-acetate,C02835
Sink,endoplasmic reticulum,Imidazole-4-acetate,C02835
Sink,peroxisome,Imidazole-4-acetate,C02835
Sink,cytosol,L-Tyrosyl-tRNA(Tyr),C02839
Sink,mitochondria,L-Tyrosyl-tRNA(Tyr),C02839
Sink,cytosol,4-Acetamidobutanoate,C02946
Sink,mitochondria,4-Acetamidobutanoate,C02946
Sink,endoplasmic reticulum,4-Acetamidobutanoate,C02946
Sink,peroxisome,4-Acetamidobutanoate,C02946
Sink,nucleus,DNA 5-methylcytosine,C02967
Sink,cytosol,L-Aspartyl-tRNA(Asp),C02984
Sink,mitochondria,L-Aspartyl-tRNA(Asp),C02984
Sink,cytosol,L-Glutamyl-tRNA(Glu),C02987
Sink,mitochondria,L-Glutamyl-tRNA(Glu),C02987
Sink,cytosol,L-Histidyl-tRNA(His),C02988
Sink,cytosol,L-Threonyl-tRNA(Thr),C02992
Sink,cytosol,L-Cysteinyl-tRNA(Cys),C03125
Sink,mitochondria,L-Cysteinyl-tRNA(Cys),C03125
Sink,cytosol,L-Isoleucyl-tRNA(Ile),C03127
Sink,mitochondria,L-Isoleucyl-tRNA(Ile),C03127
Sink,cytosol,"(8Z,11Z,14Z)-Icosatrienoic acid",C03242
Sink,nucleus,"(8Z,11Z,14Z)-Icosatrienoic acid",C03242
Sink,mitochondria,N-Formylmethionyl-tRNA,C03294
Sink,extracellular,5-L-Glutamyl amino acid,C03363
Sink,cytosol,L-Asparaginyl-tRNA(Asn),C03402
Sink,mitochondria,L-Asparaginyl-tRNA(Asn),C03402
Sink,cytosol,L-Phenylalanyl-tRNA(Phe),C03511
