Abbreviation	Description	Reaction	GPR	Genes	Proteins	Subsystem	Reversible	Lower bound	Upper bound	Objective	Confidence Score	EC Number	Notes	References
r_0001	(R)-lactate:ferricytochrome-c 2-oxidoreductase	C00256[c] + 2 C00125[m]  <=> 2 C00126[m] + C00022[c] 	((YEL039C AND YEL071W) OR (YJR048W AND YEL071W) OR (YDL174C AND YEL039C) OR (YDL174C AND YJR048W))	YDL174C YEL039C YEL071W YJR048W			1	0	1000	0				
r_0002	(R)-lactate:ferricytochrome-c 2-oxidoreductase	C00256[m] + 2 C00125[m]  <=> 2 C00126[m] + C00022[m] 	((YDL178W AND YEL039C) OR (YDL178W AND YJR048W))	YDL178W YEL039C YJR048W			1	0	1000	0				
r_0003	(R,R)-butanediol dehydrogenase	C03044[c] + C00003[c]  <=> C00810[c] + C00080[c] + C00004[c] 	YAL060W	YAL060W			1	-1000	1000	0				
r_0004	(S)-lactate:ferricytochrome-c 2-oxidoreductase	C00186[c] + 2 C00125[m]  <=> 2 C00126[m] + C00022[c] 	((YML054C AND YEL039C) OR (YML054C AND YJR048W))	YEL039C YJR048W YML054C			1	0	1000	0				
r_0005	1,3-beta-glucan synthase	C00029[c]  <=> C00965[x] + C00080[c] + C00015[c] 	((YGR032W or YLR342W) and (YCR034W or YLR372W))	YGR032W YLR342W YCR034W YLR372W			1	0	1000	0				9211877
r_0006	1,6-beta-glucan synthase	C00029[c]  <=> C02493[o] + C00080[c] + C00015[c] 	(YGR143W OR YPR159W)	YGR143W YPR159W			1	0	1000	0				
r_0007	1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino)imidazole-4-carboxamide isomerase	s_0077[c]  <=> cpd16791[c] 	YIL020C	YIL020C			1	0	1000	0				
r_0012	1-pyrroline-5-carboxylate dehydrogenase	C03912[m] + 2 C00001[m] + C00003[m]  <=> C00080[m] + C00025[m] + C00004[m] 	YHR037W	YHR037W			1	-1000	1000	0				
r_0013	2,3-diketo-5-methylthio-1-phosphopentane degradation reaction	s_0311[c] + 3 C00001[c]  <=> C01180[c] + C00058[c] + 6 C00080[c] + C00009[c] 	(YMR009W AND YEL038W)	YEL038W YMR009W			1	0	1000	0				
r_0014	2,5-diamino-6-ribitylamino-4(3H)-pyrimidinone 5'-phosphate deaminase	s_0142[c] + C00080[c] + C00001[c]  <=> C04454[c] + C01342[c] 	YOL066C	YOL066C			1	0	1000	0				
r_0015	2,5-diamino-6-ribosylamino-4(3H)-pyrimidinone 5'-phosphate reductase (NADPH)	s_0141[c] + C00080[c] + C00005[c]  <=> s_0142[c] + C00006[c] 	YBR153W	YBR153W			1	0	1000	0				
r_0016	2-aceto-2-hydroxybutanoate synthase	C00109[m] + C00080[m] + C00022[m]  <=> s_0039[m] + C00011[m] 	(YMR108W OR (YCL009C AND YMR108W))	YCL009C YMR108W			1	0	1000	0				
r_0017	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase	cpd16763[m] + C00002[m]  <=> cpd16760[n] + C00020[m] + C00080[m] 	YNL256W	YNL256W			1	0	1000	0				
r_0018	2-aminoadipate transaminase	C00322[c] + C00025[c]  <=> C00026[c] + C00956[c] 	(YER152C OR YGL202W OR YJL060W)	YER152C YGL202W YJL060W			1	-1000	1000	0				
r_0019	2-dehydropantoate 2-reductase	C00966[c] + C00080[c] + C00005[c]  <=> C00522[c] + C00006[c] 	YHR063C	YHR063C			1	0	1000	0				
r_0020	2-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	C00279[m] + C00001[m] + C00074[m]  <=> s_0350[m] + C00009[m] 	(YDR035W OR YBR249C)	YDR035W YBR249C			1	0	1000	0				22842922
r_0021	2-hexaprenyl-6-methoxy-1,4-benzoquinone methyltransferase	C05803[m] + C00019[m]  <=> s_0156[m] + C00080[m] + C00021[m] 	(YOR125C AND YOL096C AND YML110C AND YGL119W AND YGR255C AND YDR204W AND YLR201C)	YDR204W YGL119W YGR255C YLR201C YML110C YOL096C YOR125C			1	0	1000	0				
r_0022	2-hexaprenyl-6-methoxyphenol monooxygenase	C05802[m] + C00007[m]  <=> C05803[m] + C00001[m] 	(YOR125C AND YOL096C AND YML110C AND YGL119W AND YGR255C AND YDR204W AND YLR201C)	YDR204W YGL119W YGR255C YLR201C YML110C YOL096C YOR125C			1	0	1000	0				
r_0023	2-isopropylmalate hydratase	s_0165[c] + C00001[c]  <=> C02504[c] 	YGL009C	YGL009C			1	-1000	1000	0				
r_0024	2-isopropylmalate synthase	C00141[c] + C00024[c] + C00001[c]  <=> C02504[c] + C00010[c] + C00080[c] 	(YOR108W OR YNL104C)	YNL104C YOR108W			1	0	1000	0				
r_0025	2-isopropylmalate synthase	C00141[m] + C00024[m] + C00001[m]  <=> C02504[m] + C00010[m] + C00080[m] 	YNL104C	YNL104C			1	0	1000	0				
r_0026	2-keto-4-methylthiobutyrate transamination	C01180[c] + C00025[c]  <=> C00026[c] + C00073[c] 	(YHR208W OR YJR148W OR YGL202W OR YHR137W)	YHR208W YJR148W YGL202W YHR137W			1	0	1000	0				21734149
r_0027	2-methylcitrate dehydratase	C01251[m]  <=> C04002[m] + C00001[m] 	YDR234W	YDR234W			1	-1000	1000	0				
r_0028	2-methylcitrate synthase	C00001[m] + C00036[m] + C00100[m]  <=> C02225[m] + C00010[m] + C00080[m] 	YPR001W	YPR001W			1	0	1000	0				
r_0029	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	C04236[c] + C00080[c]  <=> C00233[c] + C00011[c] 	YJR148W	YJR148W			1	0	1000	0				
r_0030	2-oxo-4-methyl-3-carboxypentanoate decarboxylation	C04236[m] + C00080[m]  <=> C00233[m] + C00011[m] 	YHR208W	YHR208W			1	0	1000	0				
r_0032	3',5'-bisphosphate nucleotidase	s_0390[c] + C00001[c]  <=> C00020[c] + C00009[c] 	YOL064C	YOL064C			1	0	1000	0				
r_0033	3',5'-cyclic-nucleotide phosphodiesterase	C00575[c] + C00001[c]  <=> C00020[c] + C00080[c] 	(YGL248W OR YOR360C)	YGL248W YOR360C			1	0	1000	0				
r_0034	3',5'-cyclic-nucleotide phosphodiesterase	C00968[c] + C00001[c]  <=> C00360[c] + C00080[c] 	YOR360C	YOR360C			1	0	1000	0				
r_0035	3',5'-cyclic-nucleotide phosphodiesterase	C00943[c] + C00001[c]  <=> C00080[c] + C00130[c] 	YOR360C	YOR360C			1	0	1000	0				
r_0036	3',5'-cyclic-nucleotide phosphodiesterase	C00942[c] + C00001[c]  <=> C00144[c] + C00080[c] 	YOR360C	YOR360C			1	0	1000	0				
r_0037	3',5'-cyclic-nucleotide phosphodiesterase	C00941[c] + C00001[c]  <=> C00055[c] + C00080[c] 	YOR360C	YOR360C			1	0	1000	0				
r_0038	3,4-dihydroxy-2-butanone-4-phosphate synthase	C00199[c]  <=> C15556[c] + C00058[c] + C00080[c] 	YDR487C	YDR487C			1	0	1000	0				
r_0039	3-dehydroquinate dehydratase	C00944[c]  <=> C02637[c] + C00001[c] 	YDR127W	YDR127W			1	0	1000	0				
r_0040	3-dehydroquinate synthase	s_0349[c]  <=> C00944[c] + C00009[c] 	YDR127W	YDR127W			1	0	1000	0				
r_0041	3-dehydrosphinganine reductase	s_0231[e] + 2 C00080[e] + C00005[e]  <=> C00006[e] + C00836[e] 	YBR265W	YBR265W			1	0	1000	0				
r_0042	3-deoxy-D-arabino-heptulosonate 7-phosphate synthetase	C00279[c] + C00001[c] + C00074[c]  <=> s_0349[c] + C00009[c] 	(YDR035W OR YBR249C)	YBR249C YDR035W			1	0	1000	0				
r_0043	3-hexaprenyl-4,5-dihydroxybenzoate hydroxylase	C13425[c] + 0.5 C00007[c]  <=> s_0212[c] 	(YPL252C OR YDR376W)	YPL252C YR376W			1	0	1000	0				21944752
r_0044	3-hexaprenyl-4-hydroxy-5-methoxybenzoate decarboxylase	s_0214[m] + C00080[m]  <=> C05802[m] + C00011[m] 	(YDR538W AND YDR539W)	YDR538W YDR539W			1	0	1000	0				20471595
r_0045	3-hydroxy-L-kynurenine hydrolase	C03227[c] + C00001[c]  <=> C00632[c] + C00041[c] 	YLR231C	YLR231C			1	0	1000	0				
r_0057	3-hydroxyacyl-CoA dehydrogenase (3-oxotetradecanoyl-CoA)	C05260[p] + C00003[p]  <=> C05261[p] + C00080[p] + C00004[p] 	YKR009C	YKR009C			1	0	1000	0				
r_0058	3-hydroxyanthranilate 3,4-dioxygenase	C00632[c] + C00007[c]  <=> C04409[c] + C00080[c] 	YJR025C	YJR025C			1	0	1000	0				
r_0059	3-isopropylmalate 3-methyltransferase	C04411[c] + C00019[c]  <=> s_0217[c] + C00021[c] 	YER175C	YER175C			1	0	1000	0				
r_0060	3-isopropylmalate dehydratase	C04411[c]  <=> s_0165[c] + C00001[c] 	YGL009C	YGL009C			1	-1000	1000	0				
r_0061	3-isopropylmalate dehydrogenase	C04411[c] + C00003[c]  <=> C04236[c] + C00080[c] + C00004[c] 	YCL018W	YCL018W			1	0	1000	0				
r_0062	3-methyl-2-oxobutanoate decarboxylase	C00141[c] + C00080[c]  <=> C00011[c] + cpd16874[c] 	(YLR134W OR YGR087C OR YLR044C)	YGR087C YLR044C YLR134W			1	0	1000	0				
r_0063	3-methyl-2-oxobutanoate hydroxymethyltransferase	C00141[m] + C00143[m] + C00001[m]  <=> C00966[m] + C00101[m] 	YBR176W	YBR176W			1	0	1000	0				
r_0064	3-methyl-2-oxopentanoate decarboxylase	C00671[c] + C00080[c]  <=> C02223[c] + C00011[c] 	(YLR134W OR YDL080C OR YGR087C OR YLR044C)	YDL080C YGR087C YLR044C YLR134W			1	0	1000	0				
r_0065	3-phosphoshikimate 1-carboxyvinyltransferase	s_0261[c] + C00074[c]  <=> s_0324[c] + C00009[c] 	YDR127W	YDR127W			1	0	1000	0				
r_0066	4-amino-4-deoxychorismate synthase	C00251[c] + C00064[c]  <=> C11355[c] + C00025[c] 	YNR033W	YNR033W			1	0	1000	0				
r_0067	4-aminobenzoate synthase	C11355[c]  <=> C00568[c] + C00080[c] + C00022[c] 	YMR289W	YMR289W			1	0	1000	0				
r_0068	4-aminobutyrate transaminase	C00026[c] + C00334[c]  <=> C00025[c] + C00232[c] 	YGR019W	YGR019W			1	0	1000	0				
r_0069	4-hydroxy-L-threonine synthase	C06055[c] + C00001[c]  <=> C06056[c] + C00009[c] 	YCR053W	YCR053W			1	0	1000	0				
r_0070	4-hydroxybenzoate formation	C02949[m] + C00001[m]  <=> C00156[m] + C00010[m] + C00080[m] 					1	0	1000	0				
r_0072	4-methyl-2-oxopentanoate decarboxylase	C00233[c] + C00080[c]  <=> C07329[c] + C00011[c] 	YDL080C	YDL080C			1	0	1000	0				
r_0073	4PP-IP5 depyrophosphorylation to IP6	s_0279[c] + C00001[c]  <=> 2 C00080[c] + C01204[c] + C00009[c] 	(YOR163W OR YLR410W)	YLR410W YOR163W			1	-1000	1000	0				
r_0074	4PP-IP5 pyrophosphorylation to 4,5-PP2-IP4	s_0279[c] + C00002[c] + 2 C00080[c]  <=> s_0263[c] + C00008[c] + C00001[c] 	YDR017C	YDR017C			1	0	1000	0				
r_0075	5'-methylthioadenosine phosphorylase	C00170[c] + C00009[c]  <=> C00147[c] + C04188[c] 	YLR017W	YLR017W			1	0	1000	0				
r_0076	5'-nucleotidase (CMP)	C00055[c] + C00001[c]  <=> C00475[c] + C00009[c] 	(YER037W OR YGL224C)	YER037W YGL224C			1	0	1000	0				
