orgId	KBaseGenome	KBaseGenome ID	Name	Group	Condition	Description	Condition ID (Kbase ExpMatrix)	Kbase Media	Notes
WCS417	Pseudomonas_simiae	GCF_000698265.1	set6IT095	carbon source	2-Deoxy-D-ribonic acid lithium salt	2-Deoxy-D-ribonic lithium salt (C)	set6IT095 2-Deoxy-D-ribonic lithium salt (C)		
WCS417	Pseudomonas_simiae	GCF_000698265.1	set1IT033	carbon source	2-Deoxy-D-Ribose	2-Deoxy-D-Ribose (C)	set1IT033 2-Deoxy-D-Ribose (C)		
WCS417	Pseudomonas_simiae	GCF_000698265.1	set2IT057	carbon source	2-Deoxy-D-Ribose	2-Deoxy-D-Ribose (C)	set2IT057 2-Deoxy-D-Ribose (C)		
WCS417	Pseudomonas_simiae	GCF_000698265.1	set6IT093	carbon source	2-Deoxy-D-Ribose	2-Deoxy-D-Ribose (C)	set6IT093 2-Deoxy-D-Ribose (C)		
WCS417	Pseudomonas_simiae	GCF_000698265.1	set6IT094	carbon source	2-Deoxy-D-Ribose	2-Deoxy-D-Ribose (C)	set6IT094 2-Deoxy-D-Ribose (C)		
Miya	Desulfovibrio_vulgaris_str.__Miyazaki_F_	GCF_000021385.1	set6IT033	carbon source	Sodium D,L-Lactate	20 mM Lactate (C)	set6IT033 20 mM Lactate (C)		
Cup4G11	Cupriavidus_basilensis	GCF_000832305.1	set1IT040	carbon source	4-Hydroxybenzoic Acid	4-Hydroxybenzoic Acid (C)	set1IT040 4-Hydroxybenzoic Acid (C)		
Cup4G11	Cupriavidus_basilensis	GCF_000832305.1	set2IT069	carbon source	4-Hydroxybenzoic Acid	4-Hydroxybenzoic Acid (C)	set2IT069 4-Hydroxybenzoic Acid (C)		
Putida	Pseudomonas_putida_KT2440	GCF_000007565.2	set1IT082	carbon source	4-Hydroxyvalerate	4-Hydroxyvalerate (C) (40mM)	set1IT082 4-Hydroxyvalerate (C) (40mM)		
Putida	Pseudomonas_putida_KT2440	GCF_000007565.2	set1IT083	carbon source	4-Hydroxyvalerate	4-Hydroxyvalerate (C) (40mM)	set1IT083 4-Hydroxyvalerate (C) (40mM)		
Miya	Desulfovibrio_vulgaris_str.__Miyazaki_F_	GCF_000021385.1	set6IT034	carbon source	Sodium D,L-Lactate	60 mM Lactate (C)	set6IT034 60 mM Lactate (C)		
Caulo	Caulobacter_crescentus_NA1000	GCF_000022005.1	set1IT006	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)	set1IT006 a-Cyclodextrin (C)		
Caulo	Caulobacter_crescentus_NA1000	GCF_000022005.1	set1IT023	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)	set1IT023 a-Cyclodextrin (C)		
Caulo	Caulobacter_crescentus_NA1000	GCF_000022005.1	set1IT040	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)	set1IT040 a-Cyclodextrin (C)		
Cola	Echinicola_vietnamensis_DSM_17526	GCF_000325705.1	set2IT082	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)	set2IT082 a-Cyclodextrin (C)		
Cola	Echinicola_vietnamensis_DSM_17526	GCF_000325705.1	set3IT003	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)	set3IT003 a-Cyclodextrin (C)		
Cola	Echinicola_vietnamensis_DSM_17526	GCF_000325705.1	set3IT020	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)	set3IT020 a-Cyclodextrin (C)		
Koxy	Klebsiella_sp._M5al	GCF_002090195.1	set4IT091	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)	set4IT091 a-Cyclodextrin (C)		
Koxy	Klebsiella_sp._M5al	GCF_002090195.1	set5IT037	carbon source	a-Cyclodextrin	a-Cyclodextrin (C)	set5IT037 a-Cyclodextrin (C)		
SB2B	Shewanella_amazonensis_SB2B	GCF_000015245.1	set1H5	carbon source	a-Ketoglutaric acid disodium salt hydrate	a-Ketoglutaric	set1H5 a-Ketoglutaric		
SB2B	Shewanella_amazonensis_SB2B	GCF_000015245.1	set2H17	carbon source	a-Ketoglutaric acid disodium salt hydrate	a-Ketoglutaric	set2H17 a-Ketoglutaric		
psRCH2	Pseudomonas_stutzeri_RCH2	GCF_000327065.1	set10H11	carbon source	a-Ketoglutaric acid disodium salt hydrate	a-Ketoglutaric (C)	set10H11 a-Ketoglutaric (C)		
