orgId	locusId	sysName	geneName	desc	set1IT078 Glucose (C) (40mM)	set1IT079 Glucose (C) (40mM)	set1IT080 Glucose (C) (20mM)	set1IT081 Glucose (C) (20mM)	set1IT082 4-Hydroxyvalerate (C) (40mM)	set1IT083 4-Hydroxyvalerate (C) (40mM)	set1IT084 Acetate Carbon Source (20mM)	set1IT085 Acetate Carbon Source (20mM)	set1IT086 Acetate Carbon Source (5mM)	set1IT087 Acetate Carbon Source (5mM)	set5IT075 D-Glucose (C)	set5IT076 D-Glucose (C)	set5IT081 Levulinic Acid (C)	set5IT082 Levulinic Acid (C)	set5IT083 Levulinic Acid (C)	set5IT084 Levulinic Acid (C)
Putida	PP_0001	PP_0001		probable chromosome-partitioning protein	-0.076	-0.543	-0.952	0.058	-1.390	-0.739	-0.450	-0.423	-0.031	-0.650	-0.474	-0.888	-0.520	-0.872	-0.234	-0.666
Putida	PP_0002	PP_0002		probable chromosome partition protein	-0.412	-0.478	-0.262	-0.469	-0.958	-0.907	-0.890	-1.410	-0.637	-0.455	-0.367	-0.393	-0.651	-0.431	-0.607	-0.472
Putida	PP_0003	PP_0003		16S RNA methyltransferase	-0.045	0.171	-0.644	-0.012	-0.313	-0.006	-0.421	-0.247	-0.439	-1.073	-0.321	-0.127	-0.529	-0.359	0.051	0.086
Putida	PP_0007	PP_0007		conserved hypothetical protein	-0.539	-0.798	-0.671	-0.073	-0.298	0.051	-0.203	-0.268	-0.208	-0.835	0.121	-0.555	-0.172	-0.666	-0.223	-0.152
Putida	PP_0012	PP_0012		DNA replication and repair protein	0.045	-0.155	-0.213	-0.154	-0.055	0.150	-0.451	-0.318	-0.154	-0.398	-0.126	-0.025	0.088	-0.168	-0.327	-0.212
Putida	PP_0014	PP_0014		putative transposase	0.102	0.103	0.069	0.100	0.113	0.010	0.031	-0.050	0.017	-0.058	-0.043	-0.087	-0.057	0.066	-0.204	-0.149
Putida	PP_0015	PP_0015		putative transposon protein	0.021	0.069	0.012	0.158	0.039	0.119	-0.023	0.092	-0.039	-0.138	-0.145	-0.100	-0.057	-0.108	-0.009	-0.172
Putida	PP_0016	PP_0016		conserved hypothetical protein	-0.153	0.027	0.066	-0.064	0.032	0.163	-0.042	-0.076	-0.022	-0.140	-0.155	-0.086	-0.045	0.050	-0.147	-0.104
Putida	PP_0017	PP_0017		putative transcriptional regulator	0.056	-0.006	-0.302	-0.087	-0.288	-0.179	0.078	-0.235	0.025	-0.023	-0.228	-0.021	-0.125	-0.198	-0.293	-0.175
Putida	PP_0020	PP_0020		hypothetical protein	0.001	-0.275	0.016	-0.004	0.099	0.009	0.110	-0.001	-0.069	-0.007	-0.085	-0.025	-0.089	-0.034	-0.050	-0.111
Putida	PP_0021	PP_0021		conserved hypothetical protein	-0.070	-0.014	-0.026	-0.163	-0.096	-0.096	0.034	0.038	-0.093	-0.139	-0.159	-0.066	-0.145	-0.130	-0.054	-0.089
Putida	PP_0022	PP_0022		hypothetical protein	-0.323	-0.413	-0.086	0.491	0.788	0.266	-0.006	0.177	0.081	-0.002	-0.738	-0.708	-1.002	-0.448	-0.354	-0.682
Putida	PP_0024	PP_0024		putative membrane-associated metal-dependent hydrolase	-0.056	0.061	0.032	-0.015	0.002	0.026	-0.074	0.141	-0.042	-0.022	-0.057	-0.049	-0.121	-0.205	-0.086	-0.129
Putida	PP_0025	PP_0025		hypothetical protein	0.293	0.246	0.052	0.235	0.259	-0.960	0.314	-0.299	0.120	-0.320	0.188	-0.061	0.588	0.374	0.634	0.559
Putida	PP_0026	PP_0026		putative cobalt/cadmium/zinc exporter	0.047	-0.077	0.005	0.127	-0.108	0.050	0.070	-0.083	-0.120	-0.074	-0.089	-0.150	-0.097	0.035	-0.222	-0.098
Putida	PP_0027	PP_0027		conserved membrane protein of unknown function	-0.088	0.033	-0.004	0.236	0.009	-0.050	0.158	0.004	0.078	0.118	-0.139	-0.249	-0.145	-0.099	-0.026	-0.155
Putida	PP_0028	PP_0028		conserved hypothetical protein	-0.076	-0.195	0.034	-0.162	-0.010	-0.005	0.038	0.110	-0.089	-0.191	0.038	-0.046	-0.186	0.102	-0.150	-0.255
Putida	PP_0029	PP_0029		two component heavy metal response regulator	-0.084	0.067	-0.034	0.090	-0.010	0.085	0.114	0.122	0.101	-0.105	-0.079	-0.036	-0.118	0.001	-0.194	-0.046
Putida	PP_0030	PP_0030		metal-sensor histidine kinase	0.018	-0.001	0.011	-0.066	0.053	-0.027	-0.113	-0.025	-0.043	-0.012	-0.134	-0.029	-0.005	-0.011	-0.199	-0.131
Putida	PP_0031	PP_0031		hypothetical protein	-0.060	-0.176	-0.300	-0.020	-0.131	0.053	-0.168	-0.151	0.020	-0.126	0.040	-0.077	-0.282	-0.054	0.053	-0.059
Putida	PP_0033	PP_0033		putative undecaprenyl-glycosyl transferase	-0.033	-0.155	-0.109	0.049	-0.032	-0.072	-0.044	-0.091	-0.045	-0.084	-0.085	-0.105	-0.165	-0.135	-0.040	-0.147
Putida	PP_0034	PP_0034		putative bactoprenol glycosyl-transferase from phage origin	0.127	-0.162	-0.062	-0.080	-0.040	-0.004	-0.092	0.154	-0.424	-0.110	-0.136	0.026	0.120	-0.072	-0.081	-0.073
Putida	PP_0035	PP_0035		putative bactoprenol-linked glycose transferase	-0.225	0.169	0.062	-0.276	-0.566	-0.100	-0.098	-0.073	-0.243	-0.033	-0.090	-0.096	-0.205	0.360	0.158	0.227
Putida	PP_0036	PP_0036		putative transcriptional regulator	-0.022	-0.018	0.125	-0.055	-0.085	0.174	-0.089	0.100	-0.005	-0.041	-0.092	0.032	-0.116	0.033	-0.111	-0.113
Putida	PP_0037	PP_0037		porin P	0.057	0.034	0.061	-0.023	0.059	-0.008	0.013	-0.013	0.033	0.034	-0.171	-0.140	-0.093	-0.162	-0.113	-0.135
Putida	PP_0039	PP_0039		hypothetical protein	-0.027	0.051	0.071	0.022	-0.120	-0.081	0.036	0.027	0.031	-0.053	-0.213	-0.044	-0.095	-0.025	-0.134	-0.074
Putida	PP_0040	PP_0040		hypothetical protein	-0.334	-0.383	0.073	0.598	-0.319	-0.801	-0.073	0.045	-0.060	-0.816	-0.594	-0.052	0.000	-0.721	-0.387	-0.839
